"","Mir_1","Mir_2","Mir_3","Mir_4","Mir_5","Mir_6","Mir_7","Mir_8","Mir_9","Mir_10","Mir_11","Mir_12","Mir_13","Mir_14","Mir_15","Mir_16","Mir_17","Mir_18","Mir_19","Mir_20","Mir_21","Mir_22","Mir_23","Mir_24","Mir_25","Mir_26","Mir_27","Mir_28","Mir_29","Mir_30","Mir_31","Mir_32","Mir_33","Mir_34","Mir_35","Mir_36","Mir_37","Mir_38","Mir_39","Mir_40","Mir_41","Mir_42","Mir_43","Mir_44","Mir_45","Mir_46","Mir_47","Mir_48","Mir_49","Mir_50","Mir_51","Mir_52","Mir_53","Mir_54","Mir_55","Mir_56","Mir_57","Mir_58","Mir_59","Mir_60","Mir_61","Mir_62","Mir_63","Mir_64","Mir_65","Mir_66","Mir_67","Mir_68","Mir_69","Mir_70","Mir_71","Mir_72","Mir_73","Mir_74","Mir_75","Mir_76","Mir_77","Mir_78","Mir_79","Mir_80","Mir_81","Mir_82","Mir_83","Mir_84","Mir_85","Mir_86","Mir_87","Mir_88","Mir_89","Mir_90","Mir_91","Mir_92","Mir_93","Mir_94","Mir_95","Mir_96","Mir_97","Mir_98","Mir_99","Mir_100"
"Samp_1",15.2239133555546,17.5458264587394,15.7847192747195,14.891982844742,10.3482051470684,9.68975451167919,11.0936301315607,13.1892464035315,12.5265607284577,10.3116089487191,10.2452969776908,15.3606215114772,15.403255587634,15.5170856614245,9.5640658573724,8.85056892952952,15.9847018418488,18.7314596012694,12.3706548288702,14.0657426152925,11.8366561340705,10.4748174377592,9.00303436067002,13.8253902473609,12.0205030595171,7.02100149590956,6.94529994790361,6.88672348694904,11.1567440382697,7.48076361605061,7.27747037031919,11.6498822571431,7.15611949999339,7.62958216914008,12.1062003723499,12.0551674382961,12.3238746898036,17.2113188949581,6.89713781451716,11.8191848928837,6.90496841764394,10.4301397357308,16.9932753204955,9.91247038056465,9.07366858591669,9.65113747745209,12.6952786723081,9.93639384118505,11.5165743669635,10.1632927337203,8.13193953512365,9.65849251053257,10.5988706365962,11.3136422071848,11.9842595760868,12.1412341207262,9.65831017292436,8.91944217553392,8.03243818819057,17.6276247008907,14.2589433593092,7.4533784900459,9.69927725583875,11.8726725593699,12.1866973528287,10.723447772388,6.96746222505336,7.50588388528549,7.94435373481035,6.58609567602439,11.6312574801886,11.7998367587779,10.4815002657751,8.61140292835841,13.5261546155827,14.1686766585829,14.7756997062102,8.2922894593,7.63335829367651,12.1167027203073,12.2473820071899,13.9398878537051,14.346856936693,12.38356321843,7.69319517493758,19.5593386248288,9.71149357467247,17.2826474370654,7.73635075963279,7.04475744037488,7.5514620782535,5.40787828068811,13.9330453540588,10.2875213801737,10.2133162586071,10.6099726831972,14.5549958785624,10.955650449339,11.4225311613691,10.8629701562193
"Samp_2",16.3069654494355,16.6728304742794,13.3615293663321,14.488548820289,12.6609047211197,11.3336129059179,11.254930185967,13.4574349618344,13.2797471386271,10.4288475958346,10.1938228712638,13.4980944881102,15.0026317012675,15.309101772727,10.0700077485513,8.54801445788238,19.0528165865722,17.7339100916429,14.8812514975795,13.648641141598,10.7758444455181,7.92811925139361,9.21236780194636,11.6190732830742,10.6227231749641,7.0780772554128,7.34947025591274,6.7812871207481,11.2971006329508,8.22622188898474,7.01520451460296,10.5066153298783,6.06685937191952,7.47340500746478,11.34261222398,11.704296885471,13.0968124061999,16.7905987630907,8.80386203864498,11.0056596925933,8.63263239224907,12.0243046556649,17.0896796881127,10.4495857604084,10.4937139233102,10.4168082669507,12.1578231621745,8.82702475897223,10.3200352671999,11.0648882204559,9.96498377260497,12.6238547828912,9.08214394687023,14.6048736783259,11.2954432150208,11.8662212654248,7.83291914918489,9.12305497311732,9.05000460504818,19.0003412273724,15.6823708417997,7.04868025459743,9.03016346512819,11.2839523418713,11.0321423951566,9.84551847042064,5.79505102120909,6.33429007585778,7.55180202264236,6.2972012674178,11.026028183681,7.47468124280861,10.4023349681233,9.77233357579171,13.1663079672117,11.076102509642,14.0587442998179,5.73866211259452,8.88243484169663,11.5878762233965,8.4351129071588,15.1489465029346,13.1558380151148,13.7075148099806,8.58737196287998,20.0801517662679,10.5103401010642,17.3795511465643,8.47727163222836,6.55661082116127,6.86241298959033,7.30922643383922,13.5861797065184,11.9755444901337,11.4969370554585,10.6537415914272,14.4142252951437,11.8110039880773,12.4136674327191,10.7191104926035
"Samp_3",16.5451185036648,16.7350053040875,14.617472048876,17.8452673251638,13.8227902436719,11.3293333041616,11.1717485286749,12.7151071691313,13.7877711158108,10.364577198861,9.91216672429512,14.0214264000175,16.1670954954319,17.2161615849678,11.1498002372873,7.30429115784181,15.5337378270101,19.5164067730556,15.8134263923174,15.2288658952823,11.6860764227483,10.1064070309521,8.81601491641041,13.8334767750467,12.5228832673276,7.75912626120043,7.75722560085419,6.06515426392917,13.0916164752927,8.36011638513494,8.22332133983929,9.91635755967081,6.25997907674025,7.3576792730987,11.1411663252129,11.9573601888477,12.0480947317465,16.1276132857727,5.70776128333533,11.8214004527826,8.12148844839546,11.8978397312647,17.2723142300254,8.70000446756809,8.58501771261689,8.72433634808984,12.2580566005651,9.61693072093052,10.0151842535352,8.08523164580916,8.6246634130463,9.63926306764465,11.25393221893,11.0203914302752,11.3344473745806,11.5402159782385,8.31499353926776,9.42659544543565,8.5977641467297,17.7585215462688,16.2504021735682,8.12344440120923,10.0592032671811,12.5100676685328,12.5459079539225,9.39980237026209,8.35874820663186,7.93965814289865,9.23271677394333,7.14982604166404,5.86922606325999,3.85989259298264,10.4704671334494,8.98253852390456,13.4879635856369,14.0235358913813,15.7267253021414,9.10864528826831,6.94638803070925,11.4000314762514,10.423857504843,15.6123161817105,13.3263782691993,12.6724318937369,7.76883928347299,18.0880736128144,9.59285372608984,18.1769720061098,7.44297312438372,7.74541363615412,6.87495752138389,7.75473320188091,13.8470291591632,12.4244034112501,10.9301770518783,10.255483648747,13.5703517600024,11.3119250145973,11.0729149750691,11.418793659266
"Samp_4",13.98689852184,16.2074315602518,16.2930782675683,17.7252862033971,12.3005647063195,9.84410804598085,11.5865514765251,11.8787018485786,14.5943919976372,10.9366514345654,10.3020502998803,14.4087488341352,15.903779454004,15.9060134138707,10.3549748447798,7.70410217766153,17.5659393850733,18.2859807589042,14.4259546288301,16.4045020696759,11.421527407922,9.32913566266455,10.6518581586137,13.5779120184108,10.2183462995732,7.87148745205052,8.36382038265399,4.81897666265364,10.8181748343065,8.21319664208833,8.89133261712263,10.695980098681,5.66634945747234,6.23197017115729,10.5222152673906,12.0995681086253,10.3817763517481,17.2902602355424,8.31005561747848,10.556353240071,7.49981281556047,12.7305683697116,16.2695570699789,9.08896428946568,9.36954219939269,11.9634790574766,12.1110532621321,7.55626706347489,10.1929829789776,8.49460142935758,8.22553072930086,10.6026080309287,10.0133134297033,9.83381541694743,12.4604679666581,12.6691170339885,9.08090403826677,8.10993446405165,7.24551503305791,16.8474990164596,15.2484109473871,7.02308632646339,9.75903872429055,11.6417584516168,10.7467361028482,10.8170592210902,8.2262743978181,8.20071421030513,9.55694874644455,6.99551583832156,10.1875095450204,8.21638596808031,8.0312620505616,9.75593835751649,11.4794074597358,15.1120450365707,14.053860985265,8.59492100506006,7.0447723050107,11.0138316716448,10.9836634393857,14.1498171217712,12.5527985764389,11.850829231515,8.83016100293849,18.6060907402195,10.4666090453526,18.3648610927375,8.43370362285674,6.5525844087232,9.61562260518391,6.6935925282185,13.8407281499165,12.245465662474,10.83689369048,11.5022320439264,15.4833989806952,10.8128112811017,10.121956675253,11.039089458047
"Samp_5",16.3383317181423,17.3938694128426,16.3979248682693,15.8537254239401,13.3876746699436,10.5994142246071,12.3554662171872,12.4504255932349,13.7787792405535,10.4053266738057,10.4608325107297,13.6360714138312,15.8642667953909,14.9949087802215,11.2770219174153,9.40255843252769,16.0830805550722,17.134999136024,15.309849214463,14.0360979931589,10.755801036939,9.09476970509498,8.8738593350465,12.6885458398481,9.79554221581728,8.00157288089895,7.05997055807188,6.90935276688977,9.78726190116385,6.15744607811651,7.66225923301476,11.0562886789733,6.16010844758028,7.62812193789676,11.8195459081497,11.9382964767941,12.6138034331751,18.3747610754694,6.62997615074501,13.6305757961226,8.02493954159418,12.174472907774,16.3650834975412,7.68187703179751,7.60316898521406,11.9356703722216,12.7366425175109,8.07490805197613,9.53082038115733,9.7033151689376,8.74313235443458,9.00395401791488,9.96944111566876,10.7479946391467,10.7220737043943,12.0625896348856,9.60819082819779,9.14432591238211,9.25436411807135,18.0844629334545,13.8025627900525,6.18994062321431,9.77433515851572,11.2221128242316,10.055423892104,10.8702068962959,7.97818111419913,6.85894967538575,9.00250101712574,5.03345482439892,11.5047667547382,9.78960022268738,8.91333459253675,9.70007953483974,13.3665697194961,14.3441108997917,14.6719895788321,6.92095198619097,7.56521313247151,11.538494907874,11.9601553768848,14.281727287265,14.305091138645,12.2598717743184,9.16754114784177,20.7014208235822,7.6164525683449,17.7594937429028,8.60085752250439,7.08927215609521,9.1468652510747,8.10420577153699,13.9034524582214,11.4233503128368,9.99710745822976,10.7445863293932,14.4655828279004,11.7301655141228,12.2061507474272,10.7248487317365
"Samp_6",14.5411005607334,16.5199936200399,14.7395812887357,15.8750417551116,13.2135882205632,10.92239297814,12.0455221113691,14.1296000566489,12.9335089089452,10.5904293386605,9.73706206987025,14.664776592004,14.9549465238045,15.9467703041821,10.4031802388795,8.57576238154994,15.2717715855934,18.1244929516069,15.0988982213362,14.4343498801829,12.2833854487665,9.67635281397115,10.7877486749782,11.9702110220797,11.5911074621889,7.00801088310611,8.11411108801632,6.68451534596669,12.0642485573284,9.07985679974334,8.22402510470103,9.9920253245196,8.01520515980741,7.93223984022684,11.1407730383165,12.9717255264356,10.9483918668714,15.7531151983071,6.79130241949881,12.5498210653775,8.46747141644553,11.1656438968358,19.7431097492992,8.6285635767319,8.45752599999514,10.2272757088605,13.3521743669982,9.28994359036362,7.09026598933851,8.72216660511986,7.74010438152429,9.58251235282088,9.45304552120821,11.5479251801643,11.7540825123488,11.1505112591297,8.20494414802956,10.717334969261,6.95016496743461,18.5364663080605,14.9106967960977,7.20447530561021,9.56255211630517,10.4261076801704,11.2433451339356,10.6945045715734,8.58733839630584,7.90169630412097,8.42322878880487,7.92448194248596,7.01381694031832,8.52777067515044,10.6047075746715,8.485976724751,13.8110660170543,14.3525501833422,14.5040755681532,7.94696946097292,7.01337263924726,10.8683918874012,10.4523704874312,15.4903586236712,9.64108585886985,8.3983483979395,9.44798939731164,19.2938056074489,11.7456304575712,16.8816181299459,8.79812759952947,6.59370382768497,5.80979442737402,7.40886310789162,14.8541712222347,11.6232430212134,10.7203006133726,11.0896741411838,15.9761666938981,10.6096761853833,11.3210952019185,11.245638326625
"Samp_7",15.9757375562454,15.1333636015802,14.5345347892723,16.0127688373327,14.6148604454927,10.4269289293148,11.6692563687939,13.8547712776973,14.0014756222365,11.2659305762999,10.6275119277419,14.0944463930338,16.6364550131595,15.0532158446242,10.7447918021765,7.88864260962951,16.5468643465611,17.5943483835891,13.9218560645362,13.4322904055117,11.644423793645,10.7013436268811,9.9676225774489,12.8286889643715,11.0229162020508,7.17946213492442,7.30243998099581,5.95221088551097,11.430969470915,7.2141071046209,8.57306106288792,10.5090881791079,7.69362500821036,8.34026929440219,10.8970780197914,12.3779092657258,12.3299109649586,17.2325354735259,7.21998319846166,12.0101715903516,8.62707508968531,10.4826117176524,16.5912119042905,8.58837203301108,7.82929663178848,9.84923723042907,11.4891816465701,10.2185855186815,10.8485511771344,8.74155141944771,8.76363789524686,8.58518445356013,10.0698172773808,9.99495826081075,11.2896590191995,12.4622284110644,9.97106161195289,9.58721844004885,7.67094697442047,17.9010669113861,15.6601642045641,7.2872983122599,10.2208257911629,10.8744992365999,11.2918005033891,10.3475381931852,8.52501975448512,7.34460966694456,6.83652904608842,6.94396496011993,10.3062279000337,11.1392407886934,10.2260191578581,10.066191497739,12.8104866096339,14.5344107168547,14.5959467706912,6.74925942216597,9.01705391976527,10.4848672391431,12.035731591706,14.9050206992212,14.1425670636868,11.2710758987711,10.0789347154546,19.7727475775177,6.10629005907647,18.2744853585084,11.8021315503617,6.42058397471024,8.85905199813972,7.46400160342631,14.2806328323477,10.9717216887759,10.2700456512838,9.92856551192225,14.381537761987,11.5270844244983,11.6118914854398,10.8691144393502
"Samp_8",14.6414665624753,15.7481902397944,15.9244365890334,16.875710075609,10.605878901869,10.1215006861821,12.0813028762324,12.2400569175787,12.8337268540302,9.89849725856997,11.1381098192789,13.7747256779709,16.6184304864495,16.6248214842986,10.2508039649582,8.70712293094764,19.8408816433126,17.356852091627,13.3723718703403,14.0246985419059,11.847110861123,11.1148699079392,9.54037728847141,13.6349587483759,11.8887697392293,7.30739833521914,7.0412332429262,6.86945732805171,11.8258914792672,4.90320233441602,7.08524027319578,10.9915383747395,6.54971738624293,6.1821881478791,11.4332111434483,12.8983648883794,13.6246645192289,15.3675106784851,7.45464808128642,11.5861040482351,7.1692252632253,10.9872477207284,18.106045184618,11.3414075802599,9.24515043218249,11.2781328811572,12.0999334343265,9.3872216233844,10.2710610480569,9.05019309666279,8.1204917721479,10.4499920908207,8.93876502676968,11.2781055188176,10.2342928247377,11.9934380898315,12.3679512148697,8.04165468292783,6.77855337911565,16.3858883274713,14.4151817625926,6.81922187198921,9.64974214230032,13.4953727744267,11.8528776971895,10.4853046519664,10.5083938818338,8.32503412445784,7.99303177886463,7.30200857034153,9.25808755929788,11.8280338717819,8.96059683304068,8.97825355059134,13.1660985026231,14.4336205429223,13.9856023525133,7.19799852696082,7.05379616702586,11.2246137218099,11.5093144372801,14.6542505607598,9.3325444670135,9.60894357060897,8.26722277974742,20.2638269802447,9.64066536086097,18.7122478640603,6.96756450292503,7.01803269327511,8.44678833111975,7.97745184543166,15.1261538288979,10.5840424514551,10.5356730359951,11.5370069151447,14.2636155642873,11.5383405011516,10.9614721630929,11.6336151490873
"Samp_9",15.2406688590583,16.1677176639077,14.5152904337124,15.6929727515866,12.122986081815,11.1683111019,11.8368467439498,13.2789889072597,13.0520113333956,10.2392143869981,10.8553108430873,13.573083928912,16.6215112732005,17.82364457432,8.88037768043679,8.06553736614513,18.1915271769568,17.8259039404039,14.8428571669431,13.4142859734346,12.5185364182936,11.3254510525669,10.1748493862258,12.7156829614133,10.9952598033724,8.02536986106128,8.01138470620624,7.81808336872158,10.8325816713369,9.05281333433728,8.08837937343971,9.51718331668645,6.63071981467926,7.25329301448742,10.6576287691186,12.4858683418712,11.778208150763,16.5924688115653,8.30731299550208,11.0861352957996,9.79402130422445,10.8153476249643,16.46967757312,8.69886889559439,8.00559614428033,10.9313529570388,12.8754647942814,10.775889093331,9.29948711270757,7.60169917719062,7.89099555955876,8.53474275933576,10.1045322766212,11.3542312907329,10.8953004919374,11.8205612944493,7.96742844933497,7.92732148471452,7.92378267885181,17.0184665745134,13.7647782756693,8.31311215224005,9.7921803148096,11.1382643508474,12.4252356701938,9.97858284457631,8.40616573358801,7.53781319596412,8.80964265210283,8.79984063775719,6.96482940559566,12.8680563124159,8.68308928098591,8.91719156641936,14.4483421545974,14.9836837499781,14.2595607651586,6.98656487599478,6.83520875223395,11.9126878390811,10.4147383909563,15.308510126191,12.9201374252996,11.2432598323166,8.60922159456694,19.975043801069,10.2356157626613,18.5328258784192,6.89686243314268,5.41925823920741,9.14657316255039,8.32657839393421,14.8666678301793,13.2356868589027,10.0326780053856,9.8677689485627,14.3172932205989,11.5222173091936,11.9757337805226,10.3345233311505
"Samp_10",15.1665971121343,16.3125290155473,15.7251374997553,15.9298317431722,11.8177927048876,10.1958729789877,12.176216000693,13.2399517539813,13.0813783861873,11.4827857194111,10.9880695090909,13.780533590858,15.242045707016,14.7176022639803,10.7705013697575,8.94656591292398,16.7894737023428,17.4728376951897,13.3779236597002,13.0126823198158,12.2732375134533,8.89255222044514,10.4488026853947,12.4037947687816,11.1130463352518,6.54521752517319,7.36799411201773,6.85042884176464,11.8333060801144,7.40495557986107,7.50358549975823,9.67383000316569,7.79061744514037,9.26857548120065,10.0729089089934,12.4224440379501,10.6298597757936,16.1877166132313,10.4679876036338,12.4463481669573,7.54878193207312,9.93815837388452,14.9543315028656,8.4878203551689,8.02772101304198,14.312009286772,12.9871744355005,10.0248419538362,10.0347535405133,8.32104982522963,9.71306582894905,8.1704097859677,8.79948636677728,9.96378130691116,11.7536348747294,11.6421293437962,9.27321346652144,9.80442333077112,7.10672438711632,17.0773720979492,16.1848391077893,7.15285369051656,9.93543159737615,12.1710175670245,11.6926145642636,10.20187774004,8.77994745820166,8.20514325753788,6.35042840298201,7.50278688243978,9.84165227847621,10.0560469548734,9.24519847536401,9.60332454280102,13.7492600056483,14.8596081286687,15.673789102654,8.72918823081078,7.31135002886766,10.7578093656413,12.4295705964388,14.957826982618,13.9480672560342,10.1810356955216,8.44845252913486,19.0559239277704,8.7646105488334,17.8842922751742,7.42621172433679,7.14909412723287,8.20589986383149,7.1329485458289,14.1132599762046,12.5426669579012,11.2283671214808,11.6890312457766,14.6331377668931,11.5612287981393,11.9276712103711,10.9773596897496
